,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
26,NT Tilak Varma (MI),2023-2023,11,11,3,343,84*,42.87,209,164.11,-,1,-,26,23
27,RG Sharma (MI),2023-2023,16,16,0,332,65,20.75,250,132.8,-,2,2,35,17
28,AM Rahane (CSK),2023-2023,14,11,1,326,71*,32.60,189,172.48,-,2,-,24,16
29,JM Sharma (PBKS),2023-2023,14,14,1,309,49*,23.76,198,156.06,-,-,1,22,21
30,V Shankar (GT),2023-2023,14,10,2,301,63*,37.62,188,160.1,-,3,-,27,15
31,SO Hetmyer (RR),2023-2023,14,13,5,299,56*,37.37,197,151.77,-,1,-,12,23
32,JJ Roy (KKR),2023-2023,8,8,0,285,61,35.62,188,151.59,-,2,-,36,12
33,AR Patel (DC),2023-2023,14,13,3,283,54,28.30,203,139.4,-,1,-,21,15
34,LS Livingstone (PBKS),2023-2023,9,9,1,279,94,34.87,171,163.15,-,2,-,20,19
35,SM Curran (PBKS),2023-2023,14,13,3,276,55,27.60,203,135.96,-,1,-,20,13
36,KL Rahul (LSG),2023-2023,9,9,1,274,74,34.25,242,113.22,-,2,-,28,4
37,RA Tripathi (SRH),2023-2023,13,13,1,273,74*,22.75,213,128.16,-,1,1,29,10
38,MA Agarwal (SRH),2023-2023,10,10,0,270,83,27.00,210,128.57,-,1,-,29,6
39,D Padikkal (RR),2023-2023,11,11,1,261,52,26.10,200,130.5,-,2,-,31,6
40,DA Miller (GT),2023-2023,16,13,5,259,46,32.37,178,145.5,-,-,1,18,13
41,AK Markram (SRH),2023-2023,13,13,2,248,50,22.54,197,125.88,-,1,1,18,8
42,N Wadhera (MI),2023-2023,14,10,1,241,64,26.77,166,145.18,-,2,1,23,12
43,A Badoni (LSG),2023-2023,15,12,2,238,59*,23.80,172,138.37,-,1,-,13,12
44,TH David (MI),2023-2023,16,15,6,231,45*,25.66,146,158.21,-,-,2,12,15
45,Rahmanullah Gurbaz (KKR),2023-2023,11,11,0,227,81,20.63,170,133.52,-,2,2,17,15
46,AD Russell (KKR),2023-2023,14,14,3,227,42,20.63,156,145.51,-,-,1,13,18
47,Abhishek Sharma (SRH),2023-2023,11,11,0,226,67,20.54,157,143.94,-,2,1,28,6
48,PD Salt (DC),2023-2023,9,9,1,218,87,27.25,133,163.9,-,2,2,24,10
